aggregate,pts_english,pts_core_maths,pts_biology,pts_chemistry,pts_physics,pts_elective_maths,pts_integrated_science,pts_social_studies,trait_analytical,trait_empathy,trait_practical,trait_creative,logic_accuracy,quant_accuracy,scientific_accuracy,verbal_accuracy,label_programme,archetype,band_pool,ability
25.0,6.0,5.0,4.0,3.0,4.0,3.0,6.0,4.0,82.01264013378068,32.110613056751426,75.53126176123749,35.616760987565016,73.17675451960909,64.2511113352062,52.22706454682109,44.786056833940876,BSc Sport and Exercise Science,engineering,stretch,weak
12.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,69.52417531887221,19.75695342576293,44.976724550213376,52.441295976575084,68.79333497038917,75.66839869689282,81.90020852799887,49.769123916273436,BSc Geomatic Engineering,science,eligible,strong
8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,69.55419230152393,39.273931590025065,52.0624053161644,57.304587211783726,52.958964896959145,65.18741178091531,62.211199883588634,61.697967640449164,BSc Chemical Engineering,engineering,eligible,strong
13.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,71.91843663198554,30.749669176341282,64.91450386149157,62.60462206186094,34.09019365211477,71.51635465318786,58.56603403498417,46.08775066454808,BSc Industrial Engineering,engineering,eligible,mid
27.0,5.0,5.0,7.0,4.0,3.0,4.0,6.0,8.0,45.40372700875378,31.101360878917127,44.15285295266348,29.34970778665537,69.52726420221606,61.6666595435184,47.93790558246013,39.76631378188688,BSc Sport and Exercise Science,science,stretch,weak
11.0,6.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,59.465193707612826,19.879755829434647,62.70538136390004,49.193261737725194,86.51894870369824,66.95411782209328,69.74109266534586,47.51056602191272,BSc Telecommunication Engineering,engineering,eligible,strong
12.0,5.0,1.0,4.0,1.0,9.0,1.0,2.0,2.0,55.83093638520571,47.58881876583179,93.68636884615653,52.39987420360158,58.22042510835176,69.28739209403814,74.59002612560238,58.290737520457846,BSc Marine Engineering,engineering,eligible,strong
19.0,6.0,4.0,1.0,1.0,6.0,7.0,4.0,3.0,64.64990192033567,64.08092315710616,49.92317199919893,47.54835652213231,65.06361823198401,76.11222791970576,71.35877360352619,64.65908189915287,BSc Agricultural Biotechnology,health,eligible,mid
14.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,44.56086082493945,41.64211774679251,53.63745186906832,52.64860037680567,43.7341789164995,66.35734672441811,73.42342495208358,92.7621105630088,BSc Geomatic Engineering,science,eligible,mid
22.0,3.0,4.0,6.0,6.0,4.0,3.0,3.0,5.0,41.847088327486176,43.58606168621164,23.634074129650532,27.994321319135143,91.93870668042447,45.688661280889534,53.548216323180405,82.5537029248197,BSc Sport and Exercise Science,science,eligible,weak
