programme,track,wassce_biology,wassce_business_management,wassce_chemistry,wassce_core_maths,wassce_economics,wassce_elective_maths,wassce_english,wassce_financial_accounting,wassce_government,wassce_history,wassce_integrated_science,wassce_literature,wassce_physics,wassce_social_studies,trait_analytical,trait_creative,trait_social,trait_practical,trait_leadership,trait_empathy,logic_accuracy,quant_accuracy,verbal_accuracy,scientific_accuracy,xp,streak_days
engineering-civil,Science,3,5,4,1,3,2,3,4,3,5,5,4,3,4,76.40707537116762,58.68750784082499,30.41117399171001,93.78450301307272,54.50074089013747,33.151376364547396,59.00610133035229,86.31174578362575,55.50126571161458,61.99550003404543,706,18
banking-finance,Business,4,4,4,3,1,2,2,3,5,4,3,3,5,5,87.43154268305194,28.344902927113058,57.3216132306672,56.166858091407285,67.18688596729012,43.7142877794819,71.75453573172344,84.16761704118554,58.70961314133375,66.04241799443545,978,6
nursing,Science,2,3,2,4,3,5,1,4,4,5,5,5,4,4,68.57975881257154,33.08695675118385,62.24313676662078,68.66712785996519,40.805477139983886,94.97160744053764,50.4292852948503,54.23983459505646,63.19937017954449,69.34224517238518,912,12
banking-finance,Business,4,3,4,1,1,2,2,2,4,4,5,4,4,4,65.1266556604197,20.528875275769128,41.773003876455974,45.027531723985184,68.99774226723437,25.945209446399392,55.78802739789474,84.66915751437244,53.755663286662426,62.9381212458626,552,13
engineering-civil,Science,4,5,1,2,4,1,2,4,4,4,4,5,1,3,86.79275634956316,57.19996683971765,53.59187575240436,93.35111245914578,58.56871059149509,49.63302891219562,63.88627374019876,82.24053900791465,56.52738583669934,75.41934847962281,472,19
engineering-civil,Science,4,3,2,2,5,3,6,4,3,2,4,3,1,3,83.59209113583614,65.65980230787643,41.570485674453444,83.41365162961311,44.643462471741884,18.25317055295643,60.40558229533141,68.78815782062065,49.77539977021435,76.11982351253393,1028,11
public-administration,Business,3,3,6,3,3,3,3,4,2,3,3,4,4,3,52.22062425680381,41.725879177221195,90.79091256410435,51.59991613573438,78.81361673890117,62.858261396025426,59.0583260620565,64.6991848622716,50.05775798877434,62.01649695752025,860,23
pharmacy,Science,2,3,1,4,6,4,2,5,3,3,5,4,3,4,83.37574548798933,54.07481861313717,55.90584906901746,81.43938793276858,24.498278989689773,59.51281598069882,53.69203058165171,50.674644614208844,56.28974478719743,74.8397361207903,982,5
economics,Business,4,4,5,2,3,1,2,3,4,4,3,4,4,6,100.0,31.4675664944118,47.12616638450824,35.36557998162997,54.09292986036513,38.156050035903405,89.64682896710588,84.16732929805111,53.56034177833999,50.32168776209076,775,9
computer-science,Science,4,3,3,1,3,3,1,3,6,7,3,4,3,6,78.13142921571763,62.5472215405789,42.77337576061744,74.34766074466619,41.23843928769901,28.66177035483959,50.56654814089896,66.2208958913462,70.37834438804413,67.79678788172532,643,17
journalism,Arts,4,5,4,5,4,4,1,6,4,3,4,1,5,4,59.80143403391611,62.55414013025808,94.27438481558181,49.54420338214363,48.89569315585522,60.28475192550051,50.760454651810214,56.13002119363317,70.17345853962317,53.112524065647136,682,14
psychology,Arts,4,2,4,4,4,4,1,4,5,3,5,2,4,3,61.65543827644123,68.00044594698959,85.82655241987707,57.323116054099444,61.774118889776936,94.39086678929576,63.52919534756295,59.59303292519464,80.22399460377439,52.1240638546547,799,10
computer-science,Science,3,5,3,3,5,3,3,3,4,3,4,5,3,3,77.86282633559601,65.3278209287626,22.834398506188723,63.28859722603419,48.12009471551244,41.55312036106696,66.30150494559352,49.7422491983344,60.500498017994595,68.93511648653943,871,23
accounting,Business,2,3,5,1,3,3,4,1,5,5,4,4,4,3,78.52471319759647,28.47477467547641,43.83393864353495,74.99824246910295,34.41463918021591,28.749909696804224,73.61400098007002,62.25623680901877,36.61695479677272,62.67586349392849,963,13
psychology,Arts,4,5,5,6,4,2,3,4,3,5,3,1,3,3,69.39636606016994,60.24187842812771,82.76274179328554,25.872341161076335,26.89896563367356,90.54353585390382,57.17397476097828,78.80435938576686,62.664004695395704,57.92484127452043,974,15
public-administration,Business,4,3,4,4,3,4,3,4,2,4,2,3,3,2,58.217355598448236,47.4943389972774,72.15115933617426,51.97790081941852,90.89217496710793,73.27686132267692,47.30557432141501,66.22215823624484,55.23588106692835,48.266020888914774,576,4
medicine-surgery,Science,1,5,3,1,4,3,2,4,2,5,3,4,1,3,84.27890440694917,43.107556590635944,68.2866200228248,73.61921853928844,73.20661655528167,81.57213849135621,52.82458966870872,77.8935602139657,58.46960594134916,89.20041087870375,913,14
pharmacy,Science,2,6,3,3,4,5,2,4,4,4,3,3,1,3,75.41324715060667,37.06808413351238,74.37231162429516,86.05993369907299,35.379088836583726,63.47708452450957,49.44999768450074,47.80773872580057,61.39622202202554,80.07734308098516,673,20
pharmacy,Science,2,6,2,4,4,5,2,4,3,4,3,5,4,4,77.13751266444308,44.539655793086965,51.91326944453587,84.35547125465149,26.685939157848765,56.64392631881354,37.642260371229554,38.46701589107097,72.31882899712868,77.80273365510641,559,4
agriculture,Science,1,4,5,4,3,4,2,4,4,4,5,4,5,3,68.97815408410548,61.28936947623991,40.298504803485876,76.1230434428544,63.35784336320233,48.086560133049396,64.46964817858519,54.005345121683625,76.39823850541367,61.74533275967525,849,24
marketing,Business,3,2,4,2,3,4,4,1,3,2,3,4,4,4,53.40815128619939,82.03388240619944,74.91463958056892,52.068496408990505,76.62665970385484,63.85037937656101,49.906343185109804,56.80297426370916,70.18736290308844,52.82569201743974,667,9
computer-science,Science,3,3,3,1,4,2,2,5,5,4,3,4,3,3,87.32019744015595,67.62035812074382,26.003052135122463,71.89843392837443,30.451775147422108,43.361861000121706,79.89369860055345,76.69390081360746,68.93170632686135,51.916683505647775,527,13
